channel,type,mean_SNR,sd_SNR,max_SNR,min_SNR,n_points
blue,ideal,69458847.04589844,5337978.611504294,73233367.91992188,65684326.171875,2
blue,real,56.87566195507637,68.20975011938171,245.2158061566598,1.5244132120568348,68
red,ideal,35618044.85321045,13284132.335282184,45011344.90966797,26224744.79675293,2
red,real,37.712481129944194,57.529660563784795,297.8569311828083,0.9035086101227688,68
