channel,type,mean_SNR,sd_SNR,max_SNR,min_SNR,n_points
blue,ideal,113210512.79703777,50202685.41917479,148558120.72753906,55747016.90673828,3
blue,real,63.75114562562767,98.22105856222889,479.7401687324807,1.2707771151238452,153
