channel,type,mean_SNR,sd_SNR,max_SNR,min_SNR,n_points
blue,ideal,116764320.37353516,27820551.96151589,138010910.0341797,85274307.25097656,3
blue,real,53.590395389051864,71.64153724041533,312.1561189044425,1.29115120024308,187
