channel,type,mean_SNR,sd_SNR,max_SNR,min_SNR,n_points
red,ideal,29212595.462799072,29837082.83638527,63021492.00439453,6566161.632537842,3
red,real,33.77766606330309,53.52459189829836,312.8041453469337,1.3290292652641842e-05,204
