channel,type,mean_SNR,sd_SNR,max_SNR,min_SNR,n_points
red,ideal,19664151.827494305,14914305.324395778,36851390.83862305,10129461.288452148,3
red,real,15.971539596644725,30.640217854703977,152.016797858976,0.21157243359832498,136
